DEBUG: args.model_name = 'bert-base-multilingual-cased'
DEBUG: is None? False
DEBUG: type = <class 'str'>
{'loss': 0.029, 'learning_rate': 1.5767494356659145e-05, 'epoch': 0.85}
{'loss': 0.0304, 'learning_rate': 1.5626410835214446e-05, 'epoch': 0.87}
{'loss': 0.0162, 'learning_rate': 1.5485327313769755e-05, 'epoch': 0.9}
{'loss': 0.0262, 'learning_rate': 1.5344243792325057e-05, 'epoch': 0.93}
{'loss': 0.0221, 'learning_rate': 1.5203160270880362e-05, 'epoch': 0.96}
{'loss': 0.0282, 'learning_rate': 1.5062076749435668e-05, 'epoch': 0.99}
{'eval_loss': 0.05814375728368759, 'eval_precision': 0.8164893617021277, 'eval_recall': 0.8100263852242744, 'eval_f1': 0.8132450331125829, 'eval_runtime': 1.5893, 'eval_samples_per_second': 354.866, 'eval_steps_per_second': 22.651, 'epoch': 1.0}
{'loss': 0.0304, 'learning_rate': 1.4920993227990972e-05, 'epoch': 1.02}
{'loss': 0.0156, 'learning_rate': 1.4779909706546275e-05, 'epoch': 1.04}
{'loss': 0.0118, 'learning_rate': 1.4638826185101582e-05, 'epoch': 1.07}
{'loss': 0.0178, 'learning_rate': 1.4497742663656887e-05, 'epoch': 1.1}
{'loss': 0.0111, 'learning_rate': 1.435665914221219e-05, 'epoch': 1.13}
{'loss': 0.013, 'learning_rate': 1.4215575620767494e-05, 'epoch': 1.16}
{'loss': 0.0125, 'learning_rate': 1.40744920993228e-05, 'epoch': 1.19}
{'loss': 0.0159, 'learning_rate': 1.3933408577878104e-05, 'epoch': 1.21}
{'loss': 0.0144, 'learning_rate': 1.379232505643341e-05, 'epoch': 1.24}
{'loss': 0.0084, 'learning_rate': 1.3651241534988714e-05, 'epoch': 1.27}
{'loss': 0.0111, 'learning_rate': 1.351015801354402e-05, 'epoch': 1.3}
{'loss': 0.0117, 'learning_rate': 1.3369074492099323e-05, 'epoch': 1.33}
{'loss': 0.0146, 'learning_rate': 1.322799097065463e-05, 'epoch': 1.35}
{'loss': 0.0149, 'learning_rate': 1.3086907449209933e-05, 'epoch': 1.38}
{'loss': 0.0219, 'learning_rate': 1.2945823927765238e-05, 'epoch': 1.41}
{'loss': 0.0174, 'learning_rate': 1.2804740406320543e-05, 'epoch': 1.44}
{'loss': 0.0156, 'learning_rate': 1.2663656884875848e-05, 'epoch': 1.47}
{'loss': 0.019, 'learning_rate': 1.2522573363431152e-05, 'epoch': 1.5}
{'loss': 0.0157, 'learning_rate': 1.2381489841986455e-05, 'epoch': 1.52}
{'loss': 0.0192, 'learning_rate': 1.2240406320541762e-05, 'epoch': 1.55}
{'loss': 0.0121, 'learning_rate': 1.2099322799097065e-05, 'epoch': 1.58}
{'loss': 0.0095, 'learning_rate': 1.195823927765237e-05, 'epoch': 1.61}
{'loss': 0.012, 'learning_rate': 1.1817155756207677e-05, 'epoch': 1.64}
{'loss': 0.0136, 'learning_rate': 1.167607223476298e-05, 'epoch': 1.66}
