{'loss': 0.0215, 'learning_rate': 7.88265306122449e-06, 'epoch': 2.42}
{'loss': 0.0199, 'learning_rate': 7.723214285714287e-06, 'epoch': 2.46}
{'loss': 0.0172, 'learning_rate': 7.563775510204082e-06, 'epoch': 2.49}
{'loss': 0.0112, 'learning_rate': 7.404336734693878e-06, 'epoch': 2.52}
{'loss': 0.0109, 'learning_rate': 7.244897959183675e-06, 'epoch': 2.55}
{'loss': 0.0125, 'learning_rate': 7.08545918367347e-06, 'epoch': 2.58}
{'loss': 0.0087, 'learning_rate': 6.926020408163265e-06, 'epoch': 2.61}
{'loss': 0.0208, 'learning_rate': 6.766581632653062e-06, 'epoch': 2.65}
{'loss': 0.0228, 'learning_rate': 6.607142857142858e-06, 'epoch': 2.68}
{'loss': 0.0143, 'learning_rate': 6.447704081632653e-06, 'epoch': 2.71}
{'loss': 0.0094, 'learning_rate': 6.288265306122449e-06, 'epoch': 2.74}
{'loss': 0.013, 'learning_rate': 6.1288265306122456e-06, 'epoch': 2.77}
{'loss': 0.0095, 'learning_rate': 5.969387755102042e-06, 'epoch': 2.81}
{'loss': 0.0188, 'learning_rate': 5.809948979591837e-06, 'epoch': 2.84}
{'loss': 0.0222, 'learning_rate': 5.6505102040816325e-06, 'epoch': 2.87}
{'loss': 0.0147, 'learning_rate': 5.4910714285714295e-06, 'epoch': 2.9}
{'loss': 0.0086, 'learning_rate': 5.331632653061225e-06, 'epoch': 2.93}
{'loss': 0.0227, 'learning_rate': 5.17219387755102e-06, 'epoch': 2.97}
{'loss': 0.0193, 'learning_rate': 5.012755102040817e-06, 'epoch': 3.0}
{'eval_loss': 0.052338793873786926, 'eval_precision': 0.8708791208791209, 'eval_recall': 0.8364116094986808, 'eval_f1': 0.8532974427994616, 'eval_runtime': 0.9248, 'eval_samples_per_second': 609.836, 'eval_steps_per_second': 38.926, 'epoch': 3.0}
{'loss': 0.0079, 'learning_rate': 4.853316326530613e-06, 'epoch': 3.03}
{'loss': 0.0096, 'learning_rate': 4.693877551020409e-06, 'epoch': 3.06}
{'loss': 0.0091, 'learning_rate': 4.534438775510204e-06, 'epoch': 3.09}
{'loss': 0.0147, 'learning_rate': 4.3750000000000005e-06, 'epoch': 3.12}
{'loss': 0.0133, 'learning_rate': 4.215561224489797e-06, 'epoch': 3.16}
{'loss': 0.0111, 'learning_rate': 4.056122448979592e-06, 'epoch': 3.19}
{'loss': 0.0081, 'learning_rate': 3.896683673469388e-06, 'epoch': 3.22}
{'loss': 0.0115, 'learning_rate': 3.737244897959184e-06, 'epoch': 3.25}
{'loss': 0.0094, 'learning_rate': 3.57780612244898e-06, 'epoch': 3.28}
{'loss': 0.0088, 'learning_rate': 3.4183673469387756e-06, 'epoch': 3.32}
