{'loss': 0.0082, 'learning_rate': 5.891647855530475e-06, 'epoch': 2.82}
{'loss': 0.0117, 'learning_rate': 5.75056433408578e-06, 'epoch': 2.85}
{'loss': 0.0096, 'learning_rate': 5.609480812641084e-06, 'epoch': 2.88}
{'loss': 0.0076, 'learning_rate': 5.468397291196389e-06, 'epoch': 2.91}
{'loss': 0.0048, 'learning_rate': 5.327313769751693e-06, 'epoch': 2.93}
{'loss': 0.0062, 'learning_rate': 5.186230248306998e-06, 'epoch': 2.96}
{'loss': 0.0093, 'learning_rate': 5.045146726862303e-06, 'epoch': 2.99}
{'eval_loss': 0.059354837983846664, 'eval_precision': 0.8505434782608695, 'eval_recall': 0.8258575197889182, 'eval_f1': 0.8380187416331994, 'eval_runtime': 1.4836, 'eval_samples_per_second': 380.155, 'eval_steps_per_second': 24.265, 'epoch': 3.0}
{'loss': 0.0133, 'learning_rate': 4.904063205417607e-06, 'epoch': 3.02}
{'loss': 0.0065, 'learning_rate': 4.762979683972912e-06, 'epoch': 3.05}
{'loss': 0.006, 'learning_rate': 4.621896162528217e-06, 'epoch': 3.08}
{'loss': 0.0028, 'learning_rate': 4.480812641083522e-06, 'epoch': 3.1}
{'loss': 0.0037, 'learning_rate': 4.339729119638827e-06, 'epoch': 3.13}
{'loss': 0.0063, 'learning_rate': 4.198645598194132e-06, 'epoch': 3.16}
{'loss': 0.0036, 'learning_rate': 4.057562076749436e-06, 'epoch': 3.19}
{'loss': 0.0046, 'learning_rate': 3.91647855530474e-06, 'epoch': 3.22}
{'loss': 0.0049, 'learning_rate': 3.7753950338600455e-06, 'epoch': 3.24}
{'loss': 0.0036, 'learning_rate': 3.63431151241535e-06, 'epoch': 3.27}
{'loss': 0.0044, 'learning_rate': 3.4932279909706552e-06, 'epoch': 3.3}
{'loss': 0.0025, 'learning_rate': 3.35214446952596e-06, 'epoch': 3.33}
{'loss': 0.0015, 'learning_rate': 3.211060948081264e-06, 'epoch': 3.36}
{'loss': 0.004, 'learning_rate': 3.069977426636569e-06, 'epoch': 3.39}
{'loss': 0.0057, 'learning_rate': 2.9288939051918736e-06, 'epoch': 3.41}
{'loss': 0.0069, 'learning_rate': 2.7878103837471787e-06, 'epoch': 3.44}
{'loss': 0.0079, 'learning_rate': 2.6467268623024833e-06, 'epoch': 3.47}
{'loss': 0.0063, 'learning_rate': 2.505643340857788e-06, 'epoch': 3.5}
{'loss': 0.0095, 'learning_rate': 2.3645598194130927e-06, 'epoch': 3.53}
{'loss': 0.0029, 'learning_rate': 2.2234762979683974e-06, 'epoch': 3.56}
{'loss': 0.0061, 'learning_rate': 2.0823927765237025e-06, 'epoch': 3.58}
{'loss': 0.0025, 'learning_rate': 1.9413092550790067e-06, 'epoch': 3.61}
{'loss': 0.0077, 'learning_rate': 1.8002257336343114e-06, 'epoch': 3.64}
{'loss': 0.0058, 'learning_rate': 1.6591422121896163e-06, 'epoch': 3.67}
{'loss': 0.001, 'learning_rate': 1.518058690744921e-06, 'epoch': 3.7}
{'loss': 0.0019, 'learning_rate': 1.3769751693002259e-06, 'epoch': 3.72}
{'loss': 0.0047, 'learning_rate': 1.2358916478555306e-06, 'epoch': 3.75}
{'loss': 0.0049, 'learning_rate': 1.0948081264108353e-06, 'epoch': 3.78}
{'loss': 0.0079, 'learning_rate': 9.5372460496614e-07, 'epoch': 3.81}
{'loss': 0.0055, 'learning_rate': 8.126410835214447e-07, 'epoch': 3.84}
{'loss': 0.004, 'learning_rate': 6.715575620767495e-07, 'epoch': 3.87}
{'loss': 0.0031, 'learning_rate': 5.304740406320542e-07, 'epoch': 3.89}
{'loss': 0.0011, 'learning_rate': 3.893905191873589e-07, 'epoch': 3.92}
{'loss': 0.0034, 'learning_rate': 2.4830699774266366e-07, 'epoch': 3.95}
{'loss': 0.0029, 'learning_rate': 1.072234762979684e-07, 'epoch': 3.98}
{'eval_loss': 0.06393910199403763, 'eval_precision': 0.8661202185792349, 'eval_recall': 0.8364116094986808, 'eval_f1': 0.851006711409396, 'eval_runtime': 1.4786, 'eval_samples_per_second': 381.446, 'eval_steps_per_second': 24.348, 'epoch': 4.0}
{'train_runtime': 1278.019, 'train_samples_per_second': 44.362, 'train_steps_per_second': 5.546, 'train_loss': 0.021069623062673022, 'epoch': 4.0}
Training complete.
Best checkpoint: /home/onok/NLP-Project/outputs/norwegian_to_danish_xlmr_zero_shot/checkpoint-3544
Dev metrics written to: /home/onok/NLP-Project/outputs/norwegian_to_danish_xlmr_zero_shot/dev_metrics.json
Dev predictions written to: /home/onok/NLP-Project/outputs/norwegian_to_danish_xlmr_zero_shot/dev_predictions.iob2
Test predictions written to: /home/onok/NLP-Project/outputs/norwegian_to_danish_xlmr_zero_shot/test_predictions.iob2
Evaluate dev file with: python span_f1.py /home/onok/NLP-Project/Datasets/Danish/da_ddt-ud-dev.iob2 <dev_predictions.iob2>
