DEBUG: args.model_name = 'xlm-roberta-base'
DEBUG: is None? False
DEBUG: type = <class 'str'>
{'loss': 0.0262, 'learning_rate': 1.4497742663656887e-05, 'epoch': 1.1}
{'loss': 0.0166, 'learning_rate': 1.435665914221219e-05, 'epoch': 1.13}
{'loss': 0.0161, 'learning_rate': 1.4215575620767494e-05, 'epoch': 1.16}
{'loss': 0.0128, 'learning_rate': 1.40744920993228e-05, 'epoch': 1.19}
{'loss': 0.0225, 'learning_rate': 1.3933408577878104e-05, 'epoch': 1.21}
{'loss': 0.0191, 'learning_rate': 1.379232505643341e-05, 'epoch': 1.24}
{'loss': 0.0118, 'learning_rate': 1.3651241534988714e-05, 'epoch': 1.27}
{'loss': 0.022, 'learning_rate': 1.351015801354402e-05, 'epoch': 1.3}
{'loss': 0.0191, 'learning_rate': 1.3369074492099323e-05, 'epoch': 1.33}
{'loss': 0.0138, 'learning_rate': 1.322799097065463e-05, 'epoch': 1.35}
{'loss': 0.0199, 'learning_rate': 1.3086907449209933e-05, 'epoch': 1.38}
{'loss': 0.0293, 'learning_rate': 1.2945823927765238e-05, 'epoch': 1.41}
{'loss': 0.0195, 'learning_rate': 1.2804740406320543e-05, 'epoch': 1.44}
{'loss': 0.0223, 'learning_rate': 1.2663656884875848e-05, 'epoch': 1.47}
{'loss': 0.0271, 'learning_rate': 1.2522573363431152e-05, 'epoch': 1.5}
{'loss': 0.0176, 'learning_rate': 1.2381489841986455e-05, 'epoch': 1.52}
{'loss': 0.0246, 'learning_rate': 1.2240406320541762e-05, 'epoch': 1.55}
{'loss': 0.014, 'learning_rate': 1.2099322799097065e-05, 'epoch': 1.58}
{'loss': 0.0178, 'learning_rate': 1.195823927765237e-05, 'epoch': 1.61}
{'loss': 0.0115, 'learning_rate': 1.1817155756207677e-05, 'epoch': 1.64}
{'loss': 0.0171, 'learning_rate': 1.167607223476298e-05, 'epoch': 1.66}
{'loss': 0.0207, 'learning_rate': 1.1534988713318284e-05, 'epoch': 1.69}
{'loss': 0.0163, 'learning_rate': 1.1393905191873591e-05, 'epoch': 1.72}
{'loss': 0.0096, 'learning_rate': 1.1252821670428894e-05, 'epoch': 1.75}
{'loss': 0.0113, 'learning_rate': 1.11117381489842e-05, 'epoch': 1.78}
{'loss': 0.0168, 'learning_rate': 1.0970654627539505e-05, 'epoch': 1.81}
{'loss': 0.013, 'learning_rate': 1.082957110609481e-05, 'epoch': 1.83}
{'loss': 0.0199, 'learning_rate': 1.0688487584650113e-05, 'epoch': 1.86}
{'loss': 0.0195, 'learning_rate': 1.0547404063205418e-05, 'epoch': 1.89}
{'loss': 0.0248, 'learning_rate': 1.0406320541760723e-05, 'epoch': 1.92}
{'loss': 0.0188, 'learning_rate': 1.0265237020316028e-05, 'epoch': 1.95}
{'loss': 0.0165, 'learning_rate': 1.0124153498871332e-05, 'epoch': 1.98}
{'eval_loss': 0.053785912692546844, 'eval_precision': 0.8715083798882681, 'eval_recall': 0.8232189973614775, 'eval_f1': 0.8466757123473542, 'eval_runtime': 1.5053, 'eval_samples_per_second': 374.667, 'eval_steps_per_second': 23.915, 'epoch': 2.0}
{'loss': 0.0162, 'learning_rate': 9.983069977426637e-06, 'epoch': 2.0}
{'loss': 0.0138, 'learning_rate': 9.841986455981942e-06, 'epoch': 2.03}
{'loss': 0.0079, 'learning_rate': 9.700902934537245e-06, 'epoch': 2.06}
{'loss': 0.0073, 'learning_rate': 9.559819413092552e-06, 'epoch': 2.09}
{'loss': 0.0175, 'learning_rate': 9.418735891647857e-06, 'epoch': 2.12}
{'loss': 0.0037, 'learning_rate': 9.27765237020316e-06, 'epoch': 2.14}
{'loss': 0.01, 'learning_rate': 9.136568848758466e-06, 'epoch': 2.17}
{'loss': 0.0055, 'learning_rate': 8.995485327313771e-06, 'epoch': 2.2}
{'loss': 0.0093, 'learning_rate': 8.854401805869074e-06, 'epoch': 2.23}
{'loss': 0.0101, 'learning_rate': 8.71331828442438e-06, 'epoch': 2.26}
{'loss': 0.0066, 'learning_rate': 8.572234762979685e-06, 'epoch': 2.29}
{'loss': 0.0118, 'learning_rate': 8.43115124153499e-06, 'epoch': 2.31}
{'loss': 0.008, 'learning_rate': 8.290067720090295e-06, 'epoch': 2.34}
{'loss': 0.0087, 'learning_rate': 8.148984198645598e-06, 'epoch': 2.37}
{'loss': 0.0112, 'learning_rate': 8.007900677200903e-06, 'epoch': 2.4}
{'loss': 0.0085, 'learning_rate': 7.866817155756208e-06, 'epoch': 2.43}
{'loss': 0.0072, 'learning_rate': 7.725733634311514e-06, 'epoch': 2.45}
{'loss': 0.0106, 'learning_rate': 7.584650112866818e-06, 'epoch': 2.48}
{'loss': 0.0118, 'learning_rate': 7.443566591422122e-06, 'epoch': 2.51}
{'loss': 0.0158, 'learning_rate': 7.302483069977427e-06, 'epoch': 2.54}
{'loss': 0.0073, 'learning_rate': 7.1613995485327314e-06, 'epoch': 2.57}
{'loss': 0.0095, 'learning_rate': 7.0203160270880365e-06, 'epoch': 2.6}
{'loss': 0.0056, 'learning_rate': 6.879232505643342e-06, 'epoch': 2.62}
{'loss': 0.0082, 'learning_rate': 6.738148984198646e-06, 'epoch': 2.65}
{'loss': 0.007, 'learning_rate': 6.597065462753951e-06, 'epoch': 2.68}
{'loss': 0.0139, 'learning_rate': 6.455981941309256e-06, 'epoch': 2.71}
{'loss': 0.0059, 'learning_rate': 6.31489841986456e-06, 'epoch': 2.74}
{'loss': 0.0047, 'learning_rate': 6.1738148984198655e-06, 'epoch': 2.77}
{'loss': 0.0055, 'learning_rate': 6.03273137697517e-06, 'epoch': 2.79}
{'loss': 0.0068, 'learning_rate': 5.891647855530475e-06, 'epoch': 2.82}
{'loss': 0.0163, 'learning_rate': 5.75056433408578e-06, 'epoch': 2.85}
{'loss': 0.0063, 'learning_rate': 5.609480812641084e-06, 'epoch': 2.88}
{'loss': 0.0095, 'learning_rate': 5.468397291196389e-06, 'epoch': 2.91}
{'loss': 0.0029, 'learning_rate': 5.327313769751693e-06, 'epoch': 2.93}
{'loss': 0.0065, 'learning_rate': 5.186230248306998e-06, 'epoch': 2.96}
{'loss': 0.0107, 'learning_rate': 5.045146726862303e-06, 'epoch': 2.99}
{'eval_loss': 0.06414361298084259, 'eval_precision': 0.8598901098901099, 'eval_recall': 0.8258575197889182, 'eval_f1': 0.8425302826379542, 'eval_runtime': 1.5022, 'eval_samples_per_second': 375.445, 'eval_steps_per_second': 23.965, 'epoch': 3.0}
{'loss': 0.0115, 'learning_rate': 4.904063205417607e-06, 'epoch': 3.02}
{'loss': 0.0091, 'learning_rate': 4.762979683972912e-06, 'epoch': 3.05}
{'loss': 0.0041, 'learning_rate': 4.621896162528217e-06, 'epoch': 3.08}
{'loss': 0.0035, 'learning_rate': 4.480812641083522e-06, 'epoch': 3.1}
{'loss': 0.0035, 'learning_rate': 4.339729119638827e-06, 'epoch': 3.13}
{'loss': 0.0045, 'learning_rate': 4.198645598194132e-06, 'epoch': 3.16}
{'loss': 0.0036, 'learning_rate': 4.057562076749436e-06, 'epoch': 3.19}
{'loss': 0.0063, 'learning_rate': 3.91647855530474e-06, 'epoch': 3.22}
{'loss': 0.0024, 'learning_rate': 3.7753950338600455e-06, 'epoch': 3.24}
{'loss': 0.002, 'learning_rate': 3.63431151241535e-06, 'epoch': 3.27}
{'loss': 0.0028, 'learning_rate': 3.4932279909706552e-06, 'epoch': 3.3}
{'loss': 0.0026, 'learning_rate': 3.35214446952596e-06, 'epoch': 3.33}
{'loss': 0.0073, 'learning_rate': 3.211060948081264e-06, 'epoch': 3.36}
{'loss': 0.0027, 'learning_rate': 3.069977426636569e-06, 'epoch': 3.39}
{'loss': 0.0034, 'learning_rate': 2.9288939051918736e-06, 'epoch': 3.41}
{'loss': 0.0087, 'learning_rate': 2.7878103837471787e-06, 'epoch': 3.44}
{'loss': 0.0035, 'learning_rate': 2.6467268623024833e-06, 'epoch': 3.47}
{'loss': 0.0044, 'learning_rate': 2.505643340857788e-06, 'epoch': 3.5}
{'loss': 0.0036, 'learning_rate': 2.3645598194130927e-06, 'epoch': 3.53}
{'loss': 0.0008, 'learning_rate': 2.2234762979683974e-06, 'epoch': 3.56}
{'loss': 0.0081, 'learning_rate': 2.0823927765237025e-06, 'epoch': 3.58}
{'loss': 0.0048, 'learning_rate': 1.9413092550790067e-06, 'epoch': 3.61}
{'loss': 0.0088, 'learning_rate': 1.8002257336343114e-06, 'epoch': 3.64}
{'loss': 0.0049, 'learning_rate': 1.6591422121896163e-06, 'epoch': 3.67}
{'loss': 0.0013, 'learning_rate': 1.518058690744921e-06, 'epoch': 3.7}
{'loss': 0.0039, 'learning_rate': 1.3769751693002259e-06, 'epoch': 3.72}
{'loss': 0.0077, 'learning_rate': 1.2358916478555306e-06, 'epoch': 3.75}
{'loss': 0.0024, 'learning_rate': 1.0948081264108353e-06, 'epoch': 3.78}
{'loss': 0.0105, 'learning_rate': 9.5372460496614e-07, 'epoch': 3.81}
{'loss': 0.0103, 'learning_rate': 8.126410835214447e-07, 'epoch': 3.84}
{'loss': 0.0055, 'learning_rate': 6.715575620767495e-07, 'epoch': 3.87}
{'loss': 0.0028, 'learning_rate': 5.304740406320542e-07, 'epoch': 3.89}
{'loss': 0.0015, 'learning_rate': 3.893905191873589e-07, 'epoch': 3.92}
{'loss': 0.0052, 'learning_rate': 2.4830699774266366e-07, 'epoch': 3.95}
{'loss': 0.0023, 'learning_rate': 1.072234762979684e-07, 'epoch': 3.98}
{'eval_loss': 0.06802868843078613, 'eval_precision': 0.8725761772853186, 'eval_recall': 0.8311345646437994, 'eval_f1': 0.8513513513513514, 'eval_runtime': 1.4987, 'eval_samples_per_second': 376.32, 'eval_steps_per_second': 24.02, 'epoch': 4.0}
{'train_runtime': 1096.3965, 'train_samples_per_second': 51.711, 'train_steps_per_second': 6.465, 'train_loss': 0.02338719543497421, 'epoch': 4.0}
Training complete.
Best checkpoint: outputs/norwegian_to_danish_xlmr_zero_shot_1seed/checkpoint-7088
Dev metrics written to: outputs/norwegian_to_danish_xlmr_zero_shot_1seed/dev_metrics.json
Dev predictions written to: outputs/norwegian_to_danish_xlmr_zero_shot_1seed/dev_predictions.iob2
Test predictions written to: outputs/norwegian_to_danish_xlmr_zero_shot_1seed/test_predictions.iob2
Evaluate dev file with: python span_f1.py /home/onok/NLP-Project/Datasets/Danish/da_ddt-ud-dev.iob2 <dev_predictions.iob2>
