DEBUG: args.model_name = 'bert-base-multilingual-cased'
DEBUG: is None? False
DEBUG: type = <class 'str'>
{'loss': 0.0194, 'learning_rate': 1.3622448979591838e-05, 'epoch': 1.28}
{'loss': 0.0212, 'learning_rate': 1.3463010204081635e-05, 'epoch': 1.31}
{'loss': 0.014, 'learning_rate': 1.3303571428571429e-05, 'epoch': 1.34}
{'loss': 0.0208, 'learning_rate': 1.3144132653061226e-05, 'epoch': 1.37}
{'loss': 0.0302, 'learning_rate': 1.2984693877551023e-05, 'epoch': 1.4}
{'loss': 0.0236, 'learning_rate': 1.2825255102040817e-05, 'epoch': 1.43}
{'loss': 0.0337, 'learning_rate': 1.2665816326530614e-05, 'epoch': 1.47}
{'loss': 0.0294, 'learning_rate': 1.250637755102041e-05, 'epoch': 1.5}
{'loss': 0.0212, 'learning_rate': 1.2346938775510204e-05, 'epoch': 1.53}
{'loss': 0.0215, 'learning_rate': 1.2187500000000001e-05, 'epoch': 1.56}
{'loss': 0.0151, 'learning_rate': 1.2028061224489797e-05, 'epoch': 1.59}
{'loss': 0.0324, 'learning_rate': 1.1868622448979592e-05, 'epoch': 1.63}
{'loss': 0.0183, 'learning_rate': 1.170918367346939e-05, 'epoch': 1.66}
{'loss': 0.0433, 'learning_rate': 1.1549744897959185e-05, 'epoch': 1.69}
{'loss': 0.0188, 'learning_rate': 1.139030612244898e-05, 'epoch': 1.72}
{'loss': 0.0199, 'learning_rate': 1.1230867346938777e-05, 'epoch': 1.75}
{'loss': 0.0211, 'learning_rate': 1.1071428571428572e-05, 'epoch': 1.79}
{'loss': 0.0306, 'learning_rate': 1.0911989795918368e-05, 'epoch': 1.82}
{'loss': 0.0262, 'learning_rate': 1.0752551020408165e-05, 'epoch': 1.85}
{'loss': 0.0288, 'learning_rate': 1.059311224489796e-05, 'epoch': 1.88}
{'loss': 0.019, 'learning_rate': 1.0433673469387756e-05, 'epoch': 1.91}
{'loss': 0.0261, 'learning_rate': 1.0274234693877551e-05, 'epoch': 1.95}
{'loss': 0.0217, 'learning_rate': 1.0114795918367348e-05, 'epoch': 1.98}
{'eval_loss': 0.05085594952106476, 'eval_precision': 0.8668555240793201, 'eval_recall': 0.8073878627968337, 'eval_f1': 0.8360655737704917, 'eval_runtime': 1.5903, 'eval_samples_per_second': 354.652, 'eval_steps_per_second': 22.637, 'epoch': 2.0}
{'loss': 0.016, 'learning_rate': 9.955357142857143e-06, 'epoch': 2.01}
{'loss': 0.012, 'learning_rate': 9.795918367346939e-06, 'epoch': 2.04}
{'loss': 0.0128, 'learning_rate': 9.636479591836736e-06, 'epoch': 2.07}
{'loss': 0.0199, 'learning_rate': 9.477040816326531e-06, 'epoch': 2.1}
{'loss': 0.0081, 'learning_rate': 9.317602040816326e-06, 'epoch': 2.14}
{'loss': 0.0167, 'learning_rate': 9.158163265306124e-06, 'epoch': 2.17}
{'loss': 0.0135, 'learning_rate': 8.998724489795919e-06, 'epoch': 2.2}
{'loss': 0.0089, 'learning_rate': 8.839285714285714e-06, 'epoch': 2.23}
{'loss': 0.0106, 'learning_rate': 8.679846938775511e-06, 'epoch': 2.26}
{'loss': 0.0129, 'learning_rate': 8.520408163265307e-06, 'epoch': 2.3}
{'loss': 0.0062, 'learning_rate': 8.360969387755102e-06, 'epoch': 2.33}
{'loss': 0.0111, 'learning_rate': 8.201530612244899e-06, 'epoch': 2.36}
{'loss': 0.0102, 'learning_rate': 8.042091836734694e-06, 'epoch': 2.39}
{'loss': 0.01, 'learning_rate': 7.88265306122449e-06, 'epoch': 2.42}
{'loss': 0.0122, 'learning_rate': 7.723214285714287e-06, 'epoch': 2.46}
{'loss': 0.0078, 'learning_rate': 7.563775510204082e-06, 'epoch': 2.49}
{'loss': 0.0104, 'learning_rate': 7.404336734693878e-06, 'epoch': 2.52}
{'loss': 0.008, 'learning_rate': 7.244897959183675e-06, 'epoch': 2.55}
{'loss': 0.0149, 'learning_rate': 7.08545918367347e-06, 'epoch': 2.58}
{'loss': 0.0063, 'learning_rate': 6.926020408163265e-06, 'epoch': 2.61}
{'loss': 0.0164, 'learning_rate': 6.766581632653062e-06, 'epoch': 2.65}
{'loss': 0.012, 'learning_rate': 6.607142857142858e-06, 'epoch': 2.68}
{'loss': 0.015, 'learning_rate': 6.447704081632653e-06, 'epoch': 2.71}
{'loss': 0.0079, 'learning_rate': 6.288265306122449e-06, 'epoch': 2.74}
{'loss': 0.011, 'learning_rate': 6.1288265306122456e-06, 'epoch': 2.77}
{'loss': 0.0084, 'learning_rate': 5.969387755102042e-06, 'epoch': 2.81}
{'loss': 0.0158, 'learning_rate': 5.809948979591837e-06, 'epoch': 2.84}
{'loss': 0.0162, 'learning_rate': 5.6505102040816325e-06, 'epoch': 2.87}
{'loss': 0.0078, 'learning_rate': 5.4910714285714295e-06, 'epoch': 2.9}
