{'loss': 0.0205, 'learning_rate': 1.1230867346938777e-05, 'epoch': 1.75}
{'loss': 0.022, 'learning_rate': 1.1071428571428572e-05, 'epoch': 1.79}
{'loss': 0.0291, 'learning_rate': 1.0911989795918368e-05, 'epoch': 1.82}
{'loss': 0.0279, 'learning_rate': 1.0752551020408165e-05, 'epoch': 1.85}
{'loss': 0.0255, 'learning_rate': 1.059311224489796e-05, 'epoch': 1.88}
{'loss': 0.0188, 'learning_rate': 1.0433673469387756e-05, 'epoch': 1.91}
{'loss': 0.0251, 'learning_rate': 1.0274234693877551e-05, 'epoch': 1.95}
{'loss': 0.0183, 'learning_rate': 1.0114795918367348e-05, 'epoch': 1.98}
{'eval_loss': 0.07095155119895935, 'eval_precision': 0.8070739549839229, 'eval_recall': 0.7795031055900621, 'eval_f1': 0.7930489731437599, 'eval_runtime': 2.4768, 'eval_samples_per_second': 807.902, 'eval_steps_per_second': 50.872, 'epoch': 2.0}
{'loss': 0.0167, 'learning_rate': 9.955357142857143e-06, 'epoch': 2.01}
{'loss': 0.0159, 'learning_rate': 9.795918367346939e-06, 'epoch': 2.04}
{'loss': 0.0116, 'learning_rate': 9.636479591836736e-06, 'epoch': 2.07}
{'loss': 0.0148, 'learning_rate': 9.477040816326531e-06, 'epoch': 2.1}
{'loss': 0.0104, 'learning_rate': 9.317602040816326e-06, 'epoch': 2.14}
{'loss': 0.0134, 'learning_rate': 9.158163265306124e-06, 'epoch': 2.17}
{'loss': 0.0111, 'learning_rate': 8.998724489795919e-06, 'epoch': 2.2}
{'loss': 0.0118, 'learning_rate': 8.839285714285714e-06, 'epoch': 2.23}
{'loss': 0.0111, 'learning_rate': 8.679846938775511e-06, 'epoch': 2.26}
{'loss': 0.0117, 'learning_rate': 8.520408163265307e-06, 'epoch': 2.3}
{'loss': 0.0048, 'learning_rate': 8.360969387755102e-06, 'epoch': 2.33}
{'loss': 0.0097, 'learning_rate': 8.201530612244899e-06, 'epoch': 2.36}
{'loss': 0.0113, 'learning_rate': 8.042091836734694e-06, 'epoch': 2.39}
